Importers,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AL GAYATHRI TRADING CO. PVT. LTD.,383343.0,411871.0,854673.0,488643.0,765846.0,842636.0,823772.0,1343422.0,1383454.0,1383454.0
"AL-FAS TRADING INTERNATIONAL PVT LTD,",2933865.0,4588399.0,9108005.0,4695587.0,7369944.0,3655231.0,2146327.0,1970256.0,4857154.0,4857154.00000001
ALLEPPEY CO. LTD.,323714.0,499584.0,420808.0,456286.0,450510.0,279288.0,513920.0,304104.0,294688.0,294688.00000000047
ALPHA TRADER,588110.0,544754.0,913588.0,1002656.0,987776.0,1129530.0,1502418.0,1671016.0,1556926.0,1556925.9999999993
ALPHONSA CASHEW INDUSTRIES,2539625.0,1018541.0,280330.0,1930458.0,609573.0,2550365.0,4139521.0,3992731.0,3847159.0,3847158.9999999925
ALQ EXPORTERS,2359350.0,2039030.0,1037280.0,580950.0,3405870.0,4118800.0,897030.0,1940100.0,2012500.0,2012500.0000000026
AMAL PLYWOOD,261571.0,1110733.0,1726587.0,1654232.0,1522608.0,1043690.0,760551.0,311708.0,61112.0,61112.000000001724
AMALGAM FROZEN FOODS P. LTD.,35340.0,44110.0,36025.0,16589.0,22829.0,221549.0,97449.0,28262.0,11550.0,11550.000000000166
ANNZ COLORS IMPORTES N DISTRIBBTORS,36315.0,41607.0,45220.0,62589.0,95302.0,74401.0,85810.0,151637.0,62331.0,62331.000000000204
APOLLO TYRES LTD.,33443983.0,13450774.0,11118567.0,16626352.0,10494582.0,8055723.0,5403274.0,1900962.0,1988199.0,1988198.9999999856
APPOOS AGENCIES,59548.0,202249.0,164350.0,182140.0,215551.0,325661.0,341275.0,223550.0,291930.0,291930.00000000023
ARAFA TRADERS,460224.0,441612.0,214757.0,328920.0,210154.0,159540.0,102695.0,64940.0,85770.0,85770.00000000016
ARIHANT BATHWARE,45020.0,13870.0,28096.0,77872.0,142658.0,115987.0,104740.0,152161.0,171030.0,171030.00000000017
AROMATICS INGREDIENTS P. LTD.,607604.0,717699.0,919606.0,632728.0,653607.0,486884.0,487130.0,454988.0,461568.0,461568.0000000007
ASHWITH PAPER PRODUCTS,157455.0,289065.0,619497.0,557518.0,182629.0,137429.0,47660.0,1708410.0,1259117.0,1259116.9999999984
ASHWITH TRADE LINKS & SERVICES,2388773.0,1901571.0,2574321.0,1728909.0,1942891.0,976126.0,1279238.0,2489524.0,1675430.0,1675430.0000000005
ASNA TRADERS,211342.0,223081.0,94223.0,164957.0,305126.0,265550.0,169214.0,186844.0,181566.0,181566.00000000035
ASPINWALL & COMPANY LTD.,65116.0,114623.0,170187.0,450309.0,89958.0,50700.0,25536.0,63221.0,4003331.0,4003330.999999998
ASSOCIATED RUBBER CHEMICALS (KOCHI),55784.0,38500.0,79310.0,203296.0,280482.0,347879.0,342318.0,203850.0,137968.0,137968.00000000017
ATHIRA PLYWOOD,798000.0,674229.0,759153.0,509360.0,413378.0,189170.0,309197.0,166000.0,147448.0,147448.0000000006
ATLANTIC CARE CHEMICALS,170757.0,282490.0,267142.0,335797.0,192203.0,79250.0,101477.0,108432.0,162648.0,162648.00000000017
AVT MCCORMICK INGREDIENTS LTD.,2672727.0,3336454.0,3489038.0,2954486.0,4619077.0,3358235.0,2497297.0,2926954.0,1027582.0,1027582.0000000041
AVT NATURAL PRODUCTS LTD.,1933739.0,2549589.0,3153779.0,2757507.0,2406082.0,2467548.0,2075734.0,2320315.0,1317189.0,1317189.0000000005
BABIN TECHNOLOGIES P. LTD.,158415.0,102889.0,111907.0,102303.0,99527.0,58051.0,50155.0,52814.0,97699.0,97699.00000000023
BALAJI ENTERPRISES,2177016.0,2055874.0,1579115.0,1440273.0,919673.0,1105427.0,1159757.0,890164.0,621755.0,621754.9999999999
BASF INDIA LTD.,361675.0,241879.0,45812.0,6295.0,38941.0,63859.0,150871.0,21044.0,207021.0,207021.00000000026
BATHX BATHWARE INDIA PVT.LTD,794382.0,860758.0,1179771.0,964276.0,844645.0,575040.0,331160.0,288865.0,176640.0,176640.00000000081
BENNETT COLEMAN & CO. LTD.,2263130.0,3959835.0,3674588.0,5206900.0,4475446.0,3274299.0,1200950.0,685417.0,862340.0,862340.0000000021
BEST AGENCIES,99430.0,124304.0,117530.0,89870.0,125210.0,27404.0,79850.0,76670.0,176230.0,176230.00000000035
BETA HEALTHCARE PRODUCTS P. LTD.,472868.0,134222.0,222131.0,105354.0,592793.0,491148.0,612855.0,320233.0,358439.0,358439.00000000076
BHARAT PETROLEIUM CORPN. (KOCHI REFINERY),11890479.0,5510722.0,4231604.0,1146338.0,3903839.0,2005432.0,893467.0,2364953.0,2363885.0,2363885.000000003
BHOOPATHY STEELS (P) LTD.,1301940.0,1802209.0,2023930.0,2631620.0,2180552.0,1383665.0,1083605.0,1344140.0,131180.0,131180.0000000005
BLASTLINE INDIA P. LTD.,12420.0,6250.0,49945.0,29570.0,44501.0,22314.0,39668.0,72961.0,24205.0,24205.00000000024
BODY GEAR INTERNATIONAL P. LTD.,140353.0,147313.0,127190.0,92812.0,112409.0,89421.0,242159.0,311865.0,409751.0,409751.0000000001
BOS NATURAL FLAVOURS P. LTD.,243589.0,410599.0,270544.0,144066.0,125625.0,411724.0,317004.0,297530.0,258503.0,258503.00000000015
BPL MEDICAL  TECHNOLOGIES P. LTD.,148219.0,167686.0,157219.0,44371.0,117101.0,106457.0,34310.0,14192.0,14650.0,14650.000000000487
BTC TRADING COMPANY,1831809.0,3389832.0,2963460.0,1833292.0,3136506.0,1509399.0,1714079.0,1507190.0,1553000.0,1553000.0000000051
C.M.L. BIOTECH P. LTD.,1705.0,6946.0,75084.0,27730.0,11878.0,41873.0,6608.0,3601.0,24316.0,24316.00000000024
CAR CARE ACCESSORIES,2300.0,12250.0,13300.0,16100.0,14477.0,6338.0,10144.0,9680.0,9631.0,9631.00000000024
CARBORUNDUM UNIVERSAL LTD.,7572133.0,7623562.0,8432113.0,12531274.0,27235273.0,27916830.0,22285324.0,41897972.0,51912802.0,51912801.999999985
CARNEX TIMBERS PVT LTD,248730.0,167720.0,56209.0,374466.0,303264.0,335950.0,1168779.0,496980.0,469968.0,469967.9999999998
CEETRON TECHNOLOGIES,23973.0,28463.0,22100.0,22576.0,34940.0,18331.0,18505.0,6000.0,11847.0,11847.000000000275
CEYENAR CHEMICALS P. LTD.,1805645.0,3008787.0,4305336.0,4950247.0,7401859.0,5708601.0,4830959.0,6067816.0,6307558.0,6307558.000000002
CHOICE TRADING CORPORATION LTD.,20280.0,87504.0,185270.0,193761.0,410874.0,515373.0,270624.0,387384.0,179907.0,179907.00000000032
CHRIS MOTORS,12831.0,45574.0,103024.0,167968.0,137330.0,125069.0,125365.0,75394.0,35550.0,35550.000000000204
CHRIST MARKETING,74420.0,250090.0,55628.0,118092.0,59783.0,2250.0,20721.0,15986.0,12214.0,12214.000000000322
CLASSIC FLOOR FURNISHINGS,87105.0,145571.0,81140.0,33990.0,61955.0,70580.0,11040.0,5600.0,11620.0,11620.000000000377
CLASSIC PAINT ROLLERS & ALLIED PRODUCTS,20965.0,14621.0,8531.0,6742.0,6204.0,4810.0,8722.0,20221.0,3500.0,3500.000000000222
CLASSIC SOLVENTS P. LTD.,172298.0,230274.0,351881.0,197024.0,436934.0,827358.0,557525.0,607974.0,636568.0,636568.0000000001
CLASSY THE ANTIQUE DESIGNED FURNITURE,241658.0,222509.0,268069.0,268794.0,276455.0,124639.0,261482.0,193622.0,150654.0,150654.00000000035
COCHIN MINERALS & RUTILE LTD.,43150709.0,23175991.0,3687080.0,28609231.0,50525810.0,48630430.0,45604050.0,35675342.0,10680765.0,10680764.999999998
COCHIN RUBBERS,349594.0,224531.0,412383.0,939736.0,788029.0,167002.0,270485.0,1003415.0,425859.0,425858.9999999995
COCHIN SHIPYARD LTD.,19161618.0,21548811.0,6919396.0,2518765.0,14765725.0,3180654.0,1357177.0,618995.0,2031726.0,2031726.0000000335
COCHIN TRADERS,699790.0,960980.0,526653.0,931950.0,1219275.0,620100.0,1240200.0,286200.0,620100.0,620100.0000000013
COCO FIBRE TEX,26114.0,64548.0,65733.0,61440.0,72120.0,89560.0,22290.0,44850.0,84985.0,84985.00000000025
COCO LATEX EXPORTS P. LTD.,667758.0,189432.0,8960.0,59763.0,135570.0,75186.0,34488.0,140820.0,25280.0,25280.00000000001
CORZA INTERNATIONAL,59810.0,188922.0,268614.0,299810.0,267597.0,323085.0,371565.0,438445.0,247825.0,247825.00000000006
CRAFTEMAN AUTOMATION P. LTD.,97056.0,97056.0,92296.0,421302.0,477284.0,932385.0,1873128.0,1475117.0,552194.0,552193.9999999992
CROSSING INTERNATIONAL DISTRIBUTION,39998.0,51732.0,44793.0,87148.0,77577.0,47354.0,30463.0,169651.0,76904.0,76904.0000000001
CROWN MARKETING,39430.0,47426.0,50629.0,46346.0,45140.0,44123.0,20400.0,32470.0,7960.0,7960.000000000246
CURATECH,540256.0,845500.0,969200.0,2144467.0,1541755.0,1329942.0,1754342.0,1845705.0,1746205.0,1746204.9999999984
DELTA PLYWOODS  & BOARDS,718004.0,1217173.0,442873.0,189175.0,13040.0,75859.0,13928.0,83707.0,40887.0,40887.000000000684
DESAI AGENCIES,658985.0,990533.0,765561.0,1330006.0,3556438.0,1460569.0,741815.0,1735259.0,2544567.0,2544567.000000003
DHANYA IMPEX ,34840.0,21538.0,15620.0,19183.0,129976.0,50614.0,51470.0,60713.0,85814.0,85814.00000000038
DIAMOND PLYWOODS,392212.0,350856.0,690269.0,672551.0,407333.0,324678.0,380418.0,566971.0,613632.0,613631.9999999997
DOBERSUN PRODUCTS P. LTD.,118692.0,87536.0,135455.0,65617.0,179023.0,157630.0,309922.0,363331.0,91409.0,91409.00000000028
DUROCAP ROOFING INDIA P. LTD.,130600.0,1037203.0,1195780.0,1515586.0,1589095.0,781337.0,1201325.0,829077.0,266710.0,266710.0000000015
DYNAMIC TECHNO MEDICALS P. LTD.,42911.0,38085.0,63312.0,50164.0,118380.0,72948.0,53056.0,76183.0,154761.0,154761.0000000003
EC MALL,20003.0,10330.0,11500.0,14600.0,187260.0,23260.0,12125.0,7180.0,24180.0,24180.00000000056
ECO TRADING COMPANY,918388.0,479730.0,383000.0,801880.0,1045018.0,500545.0,811511.0,982729.0,2180900.0,2180899.999999999
ECOWOOD EXPORTS (P) LTD.,116591.0,170664.0,227076.0,221597.0,300042.0,170587.0,277930.0,193347.0,294441.0,294441.0000000004
EDGE INTERNATIONAL HK,19803.0,12036.0,66604.0,64023.0,18687.0,28439.0,20950.0,17557.0,9820.0,9820.000000000178
ELITE FOODS P. LTD.,49377.0,4410.0,19734.0,21007.0,4018.0,15229.0,28566.0,32324.0,29009.0,29009.000000000156
EMIRATES CEMENTS INDIA P. LTD.,3566100.0,6758750.0,7716239.0,6388900.0,10108890.0,11231670.0,12414530.0,11289400.0,11753860.0,11753860.000000002
ENGINEERED ELASTOMER SOLUTIONS COMPANY,16645.0,48583.0,55920.0,21878.0,35360.0,31880.0,161500.0,128430.0,25200.0,25200.000000000262
EVEREST INDUSTRIES LTD.,9938567.0,11431746.0,10338232.0,14899696.0,13197454.0,8988379.0,8397402.0,8508231.0,4158524.0,4158524.0
EVEREST PLYWOOD,52603.0,12258.0,64570.0,33450.0,25977.0,69962.0,95348.0,111369.0,13500.0,13500.000000000155
EXCEL INTERNATIONAL,8432.0,39858.0,20349.0,51300.0,131045.0,32580.0,4345.0,19048.0,9688.0,9688.000000000406
EXTRA WEAVE P. LTD.,375765.0,590874.0,218452.0,1044628.0,1175295.0,1734544.0,3054393.0,1987410.0,1883504.0,1883503.9999999988
FABA AGENCIES,188154.0,876058.0,622377.0,763004.0,766115.0,967867.0,1339770.0,963608.0,760334.0,760334.0000000003
FACT LTD.,528438293.0,500495619.0,386397832.0,476809302.0,561628719.0,731611905.0,566372010.0,468025210.0,384923357.0,384923356.9999999
FAIR MARKETING COMPANY,16582.0,23222.0,19704.0,21409.0,21766.0,14495.0,18847.0,25409.0,5948.0,5948.000000000237
FAREAST TRADING EST.,7800.0,252525.0,310100.0,138170.0,163428.0,50310.0,43280.0,42530.0,37985.0,37985.000000000684
FCI OEN CONNECTOR LTD.,480252.0,790404.0,1053192.0,1115247.0,541677.0,925697.0,1079179.0,433833.0,200185.0,200184.99999999988
FEBIN MARINE FOODS,26540.0,45000.0,10900.0,3140.0,50779.0,28995.0,41730.0,23125.0,13904.0,13904.00000000033
FEROKE BOARDS LTD.,6145258.0,6305987.0,7561633.0,8017346.0,9363240.0,5049065.0,7498783.0,4497561.0,6436413.0,6436413.000000006
FILTROWIN INDUSTRIES,205962.0,194369.0,340235.0,204260.0,205826.0,305119.0,172521.0,203229.0,187345.0,187345.00000000023
FLOORATEX RUBBER & PLASTICS P. LTD.,4080.0,40132.0,18984.0,20120.0,20720.0,148970.0,43020.0,20659.0,20317.0,20317.000000000186
FORTUNE MARKETING,5448.0,13544.0,59853.0,52414.0,102871.0,156329.0,180327.0,102418.0,126937.0,126937.00000000023
GEMCO RUBBER P. LTD.,355743.0,571094.0,528983.0,587992.0,652680.0,566431.0,199627.0,183043.0,159516.0,159516.00000000064
GEMWOOD,336543.0,145667.0,128208.0,143265.0,600505.0,72035.0,573846.0,479503.0,108230.0,108230.00000000093
GIRNAR FOOD & BEVERAGES P. LTD.,189475.0,55700.0,56015.0,81738.0,80075.0,95764.0,151392.0,287772.0,122161.0,122160.99999999994
GLASS HOUSE,1040748.0,2572014.0,1983320.0,870886.0,1499238.0,1167896.0,1003420.0,734809.0,1080424.0,1080424.0000000033
GLOBAL FURNIMART INDIA PVT.LT,74252.0,68443.0,117420.0,59627.0,10571.0,4840.0,35219.0,25145.0,9000.0,9000.000000000236
GLOBAL TRADING COMPANY,25200.0,25200.0,907260.0,3206870.0,2241000.0,2698170.0,2490146.0,2182468.0,2295255.0,2295254.9999999963
GLOBAL TRADING CORPORATION,569543.0,90576.0,30310.0,17910.0,13170.0,9830.0,8670.0,18100.0,16428.0,16427.999999999967
GOOD WOOD IMPORTS,151781.0,105907.0,542910.0,558579.0,1090458.0,948412.0,795905.0,1249085.0,998059.0,998059.0000000002
GRACE HOME STYLE TRADE P LTD,123146.0,154345.0,213088.0,174503.0,160262.0,92946.0,48951.0,77858.0,31654.0,31654.000000000346
GRAND TOTAL                             ,2713664304.0,2635813697.0,2366701667.0,2511844065.0,2481273539.0,2521187733.0,2341850049.0,2212201513.0,2260327989.0,2260327988.9999995
GREEN METHOD ENGINEERING (P) LTD.,19584.0,26112.0,26880.0,13440.0,83520.0,6720.0,6720.0,33600.0,20160.0,20160.00000000037
GREEN WUD IMPEX,111057.0,26353.0,138364.0,64572.0,188697.0,339217.0,175077.0,116841.0,143929.0,143929.00000000026
GREENLAND PARTICLE BOARDS P. LTD.,3930.0,153472.0,262179.0,191446.0,517140.0,271735.0,178364.0,778625.0,709741.0,709741.0000000003
GTN ENTERPRISES LTD.,1305017.0,3234648.0,2802712.0,2914032.0,3034831.0,1465091.0,2179959.0,1954083.0,1837978.0,1837978.0000000026
GUARDIAN CONTROLS LTD.,33690.0,56439.0,40241.0,41873.0,37677.0,59085.0,29148.0,8958.0,41814.0,41814.00000000024
GUJARAT TEA PROCESSORS & PACKERS LTD.,110367.0,56615.0,90296.0,50737.0,89453.0,55900.0,22760.0,43560.0,33760.0,33760.0000000003
HABA MARKETING,125510.0,73510.0,88051.0,108893.0,107845.0,84372.0,34191.0,231741.0,111420.0,111420.00000000004
HIC ABF SPECIAL FOODS P. LTD.,360804.0,570558.0,44054.0,490382.0,589367.0,177560.0,97957.0,188079.0,103523.0,103523.00000000052
HITECH MACHINERIES AND EQUIPMENTS,109791.0,65620.0,75795.0,155659.0,430702.0,1002414.0,522290.0,787206.0,1290070.0,1290069.9999999993
HLL LIFECARE LTD.,605754.0,339353.0,559661.0,396086.0,350820.0,298582.0,135858.0,279657.0,147778.0,147778.00000000017
HORIZON INTERNATIONAL ,128700.0,10510024.0,3651591.0,381308.0,134948.0,1264767.0,503096.0,1714210.0,2023563.0,2023563.0000000084
HYBRID COATINGS,274030.0,429824.0,462076.0,332212.0,221770.0,109987.0,92220.0,56080.0,38080.0,38080.000000000524
HYGIENE PACKS,1177517.0,1816727.0,3445350.0,3437550.0,4236463.0,1693199.0,1667679.0,2117197.0,2232632.0,2232632.000000003
HYKON INDIA (P) LTD.,5739.0,17557.0,161814.0,111768.0,27100.0,180671.0,292467.0,226458.0,63205.0,63205.000000000015
INDIAN FRUITS,98504.0,201271.0,397850.0,414894.0,315296.0,174756.0,47460.0,251996.0,268601.0,268601.0000000001
INDIAN PRODUCTS P. LTD.,872732.0,1690543.0,2546542.0,2384270.0,3548116.0,4331261.0,4523186.0,3045623.0,2723570.0,2723570.000000002
INDO GERMAN TRADING,62953.0,343550.0,486227.0,519404.0,642730.0,629223.0,60094.0,64223.0,105117.0,105117.00000000076
INDROYAL CRAFTS (P) LTD.,132583.0,151749.0,173424.0,75516.0,212875.0,219993.0,110031.0,247249.0,248111.0,248111.00000000032
INDUS PLYWOODS,67800.0,72370.0,195087.0,178088.0,82131.0,25988.0,135375.0,280720.0,347380.0,347379.99999999994
INNOVATIVE FOODS LTD.,110601.0,141369.0,100863.0,87003.0,164052.0,71800.0,72000.0,117388.0,72000.0,72000.0000000004
J S K INDUSTRIES,1176752.0,1144416.0,987530.0,1050754.0,767060.0,755450.0,897600.0,863384.0,1409434.0,1409433.9999999995
J.R. IMPORTS,377270.0,475966.0,488686.0,395310.0,550369.0,447280.0,622040.0,414628.0,283206.0,283206.00000000064
JACSONS VENEERS & PANELS P. LTD.,1231510.0,1209332.0,1252395.0,1299036.0,713298.0,494183.0,402515.0,1010443.0,586666.0,586665.9999999993
JAI KRISHNA IMPEX,19420.0,26333.0,44702.0,46550.0,47860.0,46500.0,23700.0,15890.0,10850.0,10850.000000000253
JOHN'S UMBRELLA MART,372638.0,188759.0,117823.0,111422.0,149820.0,212447.0,124374.0,215810.0,100767.0,100767.00000000007
JOLLYFLEX,30436.0,9698.0,47107.0,12904.0,28726.0,17005.0,29155.0,49747.0,86949.0,86949.00000000023
JSW STEEL LTD.,27589266.0,3071038.0,13577540.0,15703120.0,37295890.0,29855740.0,46215050.0,48567572.0,39395830.0,39395829.999999985
K.J. ASSOCIATES,298913.0,167005.0,372190.0,248894.0,89240.0,84217.0,24432.0,22880.0,22880.0,22880.00000000015
K.M.A. TRADERS,91029.0,1130783.0,1668788.0,2426049.0,3319319.0,2152882.0,2658516.0,1136568.0,175746.0,175746.0000000032
K.S MARKETING,1161285.0,3706107.0,2510769.0,3329149.0,2617563.0,1430399.0,576110.0,492437.0,290545.0,290545.00000000244
K.V.N. IMPEX (P) LTD.,48460709.0,50409835.0,56005509.0,46048054.0,41842562.0,48287034.0,48036733.0,59662101.0,55064744.0,55064743.999999985
KAIRALI STEELS & ALLOYS P. LTD.,13858939.0,16027600.0,4084373.0,9893173.0,5836970.0,4666595.0,545115.0,287840.0,1203195.0,1203194.9999999981
KAMAL PIPES P. LTD.,543240.0,622382.0,650235.0,1038140.0,2000143.0,2103589.0,723372.0,926968.0,1964520.0,1964520.0000000005
KANAM LATEX INDUSTRIES P. LTD.,101048.0,1653143.0,1076179.0,873887.0,662198.0,926137.0,1431463.0,614827.0,1363853.0,1363853.000000001
KARACHIRA COIR MANUFACTURES,323736.0,297337.0,110181.0,166516.0,26000.0,100001.0,73446.0,99645.0,80999.0,80998.99999999997
KASHMIR FRUIT BAZAR,23779.0,1035189.0,1894495.0,410407.0,1130604.0,2062298.0,1545692.0,1833692.0,2841852.0,2841852.000000001
KAVONE TECHNOLOGY P. LTD.,6181.0,22619.0,13864.0,16106.0,23710.0,20864.0,12211.0,14795.0,22415.0,22415.000000000247
KCM APPLIANCES P. LTD.,1197042.0,2375092.0,2948200.0,3541347.0,4363325.0,2756548.0,2159690.0,904876.0,1647812.0,1647812.000000004
KEFCON EXPORTERS,543990.0,688281.0,420890.0,439072.0,437108.0,365845.0,256277.0,210781.0,191152.0,191152.0000000005
KELACHANDRA PIPE FITTINGS,911953.0,630624.0,600912.0,997202.0,894056.0,417232.0,84768.0,324300.0,420865.0,420865.00000000006
KELACHANDRA PIPE INDUSTRIES,2087064.0,2264640.0,2099913.0,2448084.0,2375036.0,1812192.0,2106960.0,2363014.0,2673672.0,2673672.0
KELACHANDRA POLYMERS,16115.0,290019.0,273907.0,370576.0,612257.0,177235.0,505574.0,209449.0,273898.0,273898.000000001
KERA FIBERTEX INTERNATIONAL P. LTD.,2180397.0,1948150.0,1281802.0,2118519.0,2274487.0,2428527.0,1755621.0,2732459.0,489181.0,489180.999999999
KERALA BALERS LTD.,506927.0,679856.0,491174.0,527940.0,526276.0,476466.0,273818.0,381281.0,347796.0,347796.00000000035
KERALA BOOK HOUSE,213870.0,204390.0,184240.0,122020.0,122880.0,50580.0,70530.0,211380.0,171840.0,171840.0000000002
KERALA MINERALS AND METALS LTD.,703042.0,631242.0,311874.0,565199.0,573995.0,735569.0,920083.0,407954.0,243239.0,243239.00000000015
KITEX GARMENTS LTD.,774734.0,749729.0,1245743.0,1408990.0,1806515.0,408465.0,1148379.0,945806.0,981519.0,981519.0000000014
KOTTARAM GLOBALS,2165020.0,2370248.0,2294954.0,1560216.0,3273092.0,1233792.0,1994246.0,3139513.0,2834861.0,2834861.000000003
KSE LTD.,2365454.0,14178417.0,10325262.0,34557015.0,32491673.0,28845816.0,13233045.0,33863324.0,24003517.0,24003516.999999974
KUNNATHAN CHIP BOARDS P. LTD.,109656.0,559766.0,2290644.0,3211743.0,4555073.0,2489104.0,1688706.0,1699830.0,6381034.0,6381034.000000001
KUNNATHAN WOOD PRODUCTS,4910588.0,7940928.0,5559351.0,3561255.0,4003836.0,2896292.0,1673908.0,877642.0,5857311.0,5857311.000000006
KURIAN JACOB & SON,56000.0,1288000.0,1988800.0,3035830.0,6901870.0,8328100.0,15519600.0,9604800.0,3266000.0,3266000.000000003
KWALITYWUD INTERNATIONAL,642698.0,1259588.0,1650017.0,1464194.0,1574078.0,1755699.0,1868050.0,1343483.0,1967147.0,1967147.0000000005
LABTECH MEDICO P. LTD.,181692.0,114891.0,211819.0,191765.0,278045.0,130643.0,213662.0,317058.0,272154.0,272154.00000000023
LABX,9078.0,62794.0,70280.0,165603.0,111794.0,17144.0,89944.0,148954.0,159248.0,159248.0000000001
LE MARBLE GALLERY PVT LTD,3772515.0,2848924.0,891000.0,717740.0,580554.0,821189.0,962504.0,872394.0,212040.0,212039.9999999999
LIGHTING ERA,75737.0,61840.0,53180.0,19910.0,17840.0,3535.0,11620.0,4800.0,6610.0,6610.000000000276
"LULU INTERNATIONAL SHOPPING MALL (P) LTD.,",557641.0,901517.0,912666.0,1013134.0,2017319.0,1440317.0,1766646.0,1964381.0,1430367.0,1430367.0000000012
M & M TRADING COMPANY,191600.0,357410.0,779370.0,18645.0,658542.0,392906.0,147378.0,140600.0,1881550.0,1881550.0000000014
M.M. PUBLICATIONS LTD.,8374233.0,9256798.0,6642379.0,6932039.0,4098495.0,2485286.0,2830768.0,2387237.0,613156.0,613156.0000000008
MAB ENTERPRISES,523324.0,648610.0,886314.0,803472.0,880490.0,572459.0,302132.0,317708.0,321754.0,321754.0000000008
MADHU JAYANTHI INTERNATIONAL LTD.,74135.0,112688.0,146901.0,220697.0,301170.0,635870.0,791958.0,526625.0,778874.0,778873.9999999999
MAHAVIR CHEMICAL INDUSTRIES,619850.0,620970.0,517408.0,709615.0,983758.0,813012.0,443080.0,470725.0,554420.0,554420.0000000005
MALABAR EQUIPMENTS & GENERAL TRADER LTD.,257523.0,229324.0,43373.0,71967.0,77610.0,47126.0,127421.0,74315.0,195202.0,195202.0000000002
MALABAR EXPORTS,95813.0,96936.0,23105.0,197051.0,196535.0,156148.0,24697.0,81649.0,156850.0,156850.0000000001
MALABAR EXTRUSIONS (P) LTD.,4670.0,1057613.0,2951895.0,2840807.0,4873656.0,5574916.0,4784118.0,6276113.0,7436612.0,7436611.999999998
MALAYALA MANORAMA CO. LTD.,72235810.0,83544014.0,79861789.0,73190689.0,71278324.0,46301847.0,42235332.0,52470462.0,48909379.0,48909379.00000003
MALWA CERAMICS P. LTD.,4986315.0,2737989.0,3505148.0,751660.0,3165896.0,2442274.0,1542838.0,557840.0,502920.0,502920.00000000565
MAMPARAMBIL POLYMERS,101476.0,152138.0,126697.0,228147.0,202802.0,177508.0,25940.0,77824.0,53410.0,53410.00000000021
MAMPILLY PLYWOOD INDUSTRIES,28000.0,426972.0,129410.0,67767.0,315761.0,520934.0,921732.0,394642.0,186244.0,186244.0000000008
MANE KANCOR INGREDIENTS LTD.,2116956.0,2126676.0,2240221.0,3289834.0,3546627.0,2561546.0,2655176.0,3365453.0,2040565.0,2040564.9999999995
MAR LOUIS BOOK CENTRE,34299.0,41781.0,105074.0,49068.0,20230.0,6000.0,5023.0,32713.0,39276.0,39276.00000000024
MARICO  LTD.,1544050.0,1968496.0,3075125.0,7951823.0,6552581.0,7748766.0,8652832.0,5700531.0,4089675.0,4089674.9999999944
MATHESON BOSANQUET ENTERPRISES LTD.,259048.0,291126.0,463098.0,294825.0,210963.0,113915.0,89050.0,121668.0,41849.0,41849.00000000042
